"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"sRNA77",1232.99070039475,-2.30297400960661,0.369076343455273,6.86192534266422e-11,8.23431041119706e-10
"sRNA76",231.565490243904,-2.41562060530116,0.418885482559351,1.21028462321101e-09,7.26170773926609e-09
"sRNA87",1101.38706685624,1.8931190502119,0.382859666448698,1.71147307520116e-07,6.84589230080466e-07
"sRNA84",120689.114223048,-1.33256110338364,0.355266929237839,5.53475417056207e-05,0.000166042625116862
"sRNA54",26.9653326017813,1.9429480032471,0.781118188085724,0.00201938073106877,0.00484651375456505
"sRNA29",108.49324823569,0.993364410974688,0.476114427621247,0.0189961931381787,0.0379923862763573
"sRNA30",10.3236659693862,1.36103349672908,1.18137845983685,0.0482626261069984,0.0827359304691402
"sRNA21",16.6775588318003,-0.659731100236308,0.737616604525171,0.223644911645002,0.335467367467504
"sRNA20",14.3703268898351,0.3904734903864,0.692057012871541,0.453333457290202,0.604444609720269
"sRNA103",11.3116141599963,-0.278705200072858,0.864972129328726,0.567610734116957,0.658735012177889
"sRNA102",135.610860232042,0.206904023235242,0.440426796954411,0.603840427829731,0.658735012177889
"sRNA85",25.2752896668071,0.163758520555868,0.628585480381377,0.744967809350325,0.744967809350325
